click_hotel_index_pv,click_hotel_index_search_pv,click_hotel_detail_pv,click_travel_index_pv,click_travel_index_search_pv,click_travel_index_pie_pv,click_travel_pre_order_pv,click_travel_detail_pv,page_cnt,launch_cnt,loc_mdd_duration,hotel_detail_pv,travel_detail_pv,long_sum_duration,long_max_duration,long_avg_duration,short_sum_duration,short_max_duration,short_avg_duration,poi_sum_duration,poi_max_duration,poi_avg_duration,hotel_sum_duration,hotel_max_duration,hotel_avg_duration,travel_sum_duration,travel_max_duration,travel_avg_duration
1,0,0,5,0,3,0,2,13,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,147.944378,78.908781,21.13491114
0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,76.316,35.667,25.43866667,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,3,0,0,0,202.82,120.239,101.41,71.318,70.4,35.659,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,6,0,1,0,63.948224,63.948224,63.948224,0,0,0,39.319086,15.002749,6.553181,8.474107,8.474107,8.474107,0,0,0
0,0,0,0,0,0,0,0,10,4,0,0,0,9.874847,9.874847,9.874847,167.675913,46.051728,16.7675913,8.162891,8.162891,8.162891,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13,3,0,0,5,0,0,0,20.83,18.687,10.415,60.226,45.172,15.0565,0,0,0,76.384,34.778,15.2768
0,0,0,0,0,0,0,0,13,1,0,0,0,317.589,150.877,52.9315,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,5,0,0,0,378.797,137.011,47.349625,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,4,5,0,0,2,0,0,0,0,0,0,479.0816173,157.0564973,65.54033008,0,0,0,43.606368,42.497448,21.803184
0,0,0,1,0,1,0,0,12,5,0,0,0,0,0,0,0,0,0,137.23,120.065,65.54033008,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,4,0,0,0,18.517,18.517,18.517,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,5,28.13,0,0,0,0,0,0,0,0,19.326,19.326,19.326,0,0,0,0,0,0
0,0,0,1,0,1,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,2.174,2.174,2.174,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,283.589,165.076,70.89725,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,8,0,0,1,0,0,0,61.398,20.927,10.233,0,0,0,0,0,0,49.382,49.382,49.382
0,0,0,0,0,0,0,0,7,5,0,0,3,358.096,132.454,89.524,0,0,0,0,0,0,0,0,0,65.712,56.737,21.904
0,0,0,0,0,0,0,0,9,3,0,1,0,220.633,185.403,110.3165,70.289,38.813,35.1445,0,0,0,7.427,7.427,7.427,0,0,0
0,0,0,0,0,0,0,0,4,2,0,0,0,687.061,355.476,114.5101667,0,0,0,289.492,145.798,32.16577778,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,1,0,0,0,497.566,388.447,165.8553333,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13,5,0,0,4,40.970743,29.104237,20.4853715,44.794551,44.794551,44.794551,0,0,0,0,0,0,131.611674,87.039429,32.9029185
0,0,0,1,0,1,0,0,9,4,0,0,3,0,0,0,456.099064,183.930981,38.00825533,0,0,0,0,0,0,161.526386,87.498078,53.84212867
0,0,0,0,0,0,0,0,18,4,0,0,0,77.748,37.352,19.437,13.825,13.825,13.825,94.048,40.693,11.756,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,52.391655,17.627127,8.7319425,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,150.28,83.015,50.09333333,0,0,0,0,0,0
0,0,0,6,1,3,0,1,19,6,0,0,1,2.578455,1.560016,1.2892275,4.689807,3.579879,2.3449035,0,0,0,0,0,0,6.931995,6.931995,6.931995
0,0,0,0,0,0,0,0,6,8,0,0,0,150.251829,116.177295,50.083943,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,5,12,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,200.593405,79.2638,40.118681
0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,124.163307,124.163307,75.09486667,17.770054,17.770054,17.770054,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15,1,0,0,2,408.156,162.235,51.0195,40.269,22.405,20.1345,101.828,33.337,20.3656,0,0,0,122.88,103.933,61.44
0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,2,0,0,0,709.116244,476.01787,302.0928378,0,0,0,16.617622,16.617622,16.617622,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,2,0,0,0,686.576,628.538,228.8586667,8.456,8.456,8.456,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,11.535269,5.823829,3.845089667,11.55015,8.572855,5.775075,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,2,0,0,0,756.104654,370.286717,108.0149506,79.772521,28.493561,15.9545042,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,4,7.452,0,0,0,0,0,0,0,0,28.28,10.309,5.656,0,0,0,0,0,0
4,0,5,0,0,0,0,0,13,3,0,3,0,197.080563,73.433563,49.27014075,0,0,0,0,0,0,57.983884,33.096407,19.32796133,0,0,0
0,0,0,0,0,0,0,0,7,2,32.31662,0,0,593.382,593.382,302.0928378,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,4,0,0,0,184.738,74.763,23.09225,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,4,0,0,0,274.413048,190.65298,54.8826096,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,7,0,0,1,0,0,0,0,0,0,385.603,105.903,21.42238889,0,0,0,28.498,28.498,28.498
0,0,0,0,0,0,0,0,13,3,0,0,0,329.731441,96.492216,32.9731441,6.35793,6.35793,6.35793,17.944722,17.944722,17.944722,0,0,0,0,0,0
0,0,0,0,0,0,0,0,17,4,0,0,6,19.932462,14.997537,9.966231,0,0,0,0,0,0,0,0,0,137.096538,41.096597,22.849423
0,0,0,0,0,0,0,0,15,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,69.750431,58.746761,34.8752155
0,0,0,0,0,0,0,3,9,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,154.194,77.687,11.86107692
0,0,0,0,0,0,0,0,8,2,0,0,0,308.429,308.429,302.0928378,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,5,0,0,0,16.720623,11.533793,8.3603115,280.887413,68.559886,12.21249622,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,5,0,0,0,309.402,224.937,77.3505,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,4.295,4.295,4.295,0,0,0,0,0,0,0.633,0.633,0.633
3,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,3.257507,3.257507,3.257507,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,1,0,0,0,1193.838465,463.451434,238.767693,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,4,0,0,0,296.345,209.109,74.08625,0,0,0,67.655,54.919,33.8275,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,2.539133,2.539133,2.539133,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,33.681,11.565,3.3681,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,2,0,0,0,308.429,308.429,302.0928378,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,3,0,0,18,8,4.993917,0,0,0,0,0,18.053486,9.008479,6.017828667,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,16,32.175581,0,0,0,0,0,0,0,0,0.460737,0.460737,0.460737,0,0,0,0,0,0
0,0,0,1,0,0,0,0,25,2,0,4,0,59.128795,36.444252,29.5643975,0,0,0,0,0,0,73.234916,31.222013,18.308729,0,0,0
1,0,4,4,0,3,0,4,15,5,0,3,9,0,0,0,0,0,0,0,0,0,95.009,64.388,31.66966667,185.382,57.754,20.598
0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0.529897,0.529897,0.529897,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,3,0,0,0,7.696679,6.015794,2.565559667,152.740008,45.374413,8.984706353,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,4,0,0,0,147.732657,147.732657,147.732657,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14,2,0,0,0,381.141733,187.041694,76.2283466,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,2,0,0,0,544.731,181.059,108.9462,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,1,0,0,0,819.599,200.451,40.97995,0,0,0,25.489,24.531,12.7445,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,2,0,0,0,611.106,358.535,122.2212,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,2,0,0,0,544.731,181.059,108.9462,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,66.543025,17.523969,11.09050417,37.822262,16.212568,6.303710333,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,6,0,0,1,0,0,0,0,0,0,116.346,26.507,9.6955,0,0,0,7.893,7.893,7.893
